"Titulo";"Publicacao"
"Diálogo (bio)polâtico";"2014-05-16"
"Pé de sapo e sapato de pato";"2014-05-16"
"Campanhas jornalâsticas VI:";"2014-05-16"
"Direito municipal brasileiro";"2014-05-16"
"Vade Mecum";"2014-05-18"
"A escrita bastarda de Salman Rushdie";"2014-05-19"
"Introduction to electrodynamics";"2014-05-19"
"Talking about computing and genomics TACG";"2014-05-19"
"Patrimônio documental e histíria institucional";"2014-05-20"
"O banquete, ou, do amor";"2014-05-20"
"Pensadores y farsantes";"2014-05-21"
"The five people you meet in heaven";"2014-05-21"
"Ensayos y control de los hormigones";"2014-05-21"
"Análise de volatilidade, integraçào de preços e previsibilidade para o mercado brasileiro";"2014-05-22"
"Observaçào à  superfâcie. -";"2014-05-23"
"Ciência, tecnologia e sociedade e o contexto da educaçào tecnolígica";"2014-05-23"
"Psichari, maà®tre de grandeur";"2014-05-25"
"Rio Poxim";"2014-05-27"
"Metamorphic petrology";"2014-05-28"
"Meu cachorro é um elefante";"2014-05-29"
"Música";"2014-05-29"
"Crônica de uma cidade chamada Natal";"2014-05-30"
"No jubileu de ouro do Colégio Sagrado Coraçào de Maria";"2014-05-30"
"Image, music, text";"2014-05-30"
"Projeto de um transformador utilizado em uma planta de plasma";"2014-06-02"
"Prova de esforço";"2014-06-02"
"A brasileira de prazins";"2014-06-02"
"Parasitologia animal";"2014-06-03"
"Programa nacional de melhoramento do Guzerá para leite";"2014-06-03"
"Presentation zen";"2014-06-04"
"Projeto Orla";"2014-06-04"
"Histíria do cinema";"2014-06-04"
"Diplomacia e polâtica de defesa";"2014-06-05"
"Dynamics of skill acquisition";"2014-06-07"
"Strategic IT portfolio management";"2014-06-07"
"Fim do livro, fim dos leitores?";"2014-06-08"
"O Panorama empreendedor na cidade de Itabuna-Bahia-regiào cacaueira";"2014-06-08"
"Manual de mecânica";"2014-06-08"
"Pigmeus";"2014-06-10"
"Pode quem pensa que pode";"2014-06-10"
"Alfabetizaçào de crianças e jovens";"2014-06-11"
"Politica e interesses na industrializaçào brasileira";"2014-06-11"
"Mathematics for physics";"2014-06-12"
"Silvino Bezerra";"2014-06-12"
"A globalizaçào da natureza e a natureza da globalizaçào";"2014-06-12"
"Sete cavalos na Berlinda";"2014-06-14"
"Funçào quadrática";"2014-06-14"
"Inovaçào e gestào";"2014-06-15"
"Music and the historical imagination";"2014-06-15"
"Core HTML5 canvas";"2014-06-16"
"Ensaios sobre José Lins do Rego";"2014-06-16"
"Simulaçào de fluxo de fluidos em meios porosos desordenados";"2014-06-18"
"Statistical models and methods for lifetime data";"2014-06-18"
"Como quebrar cídigos";"2014-06-19"
"A referência no design gráfico";"2014-06-19"
"Distribuiçào espacial, formaçào de grupos, uso do habitat e ecologia comportamental de jov";"2014-06-19"
"Questões objetivas de direito tributário";"2014-06-21"
"Filosofia brasileira";"2014-06-21"
"O sal e a pecuária brasileira";"2014-06-22"
"IIRSA - outro passo na pilhagem, exploraçào e (des)integraçào dos povos e territírios sul-";"2014-06-22"
"Ecological task analysis and movement";"2014-06-23"
"Biodigestor";"2014-06-23"
"Uma ciência moderna e imperial";"2014-06-24"
"à?rea e volume da esfera";"2014-06-24"
"O duplo e a metamorfose";"2014-06-25"
"Braque";"2014-06-25"
"O Que tem nesta venda?";"2014-06-26"
"Quando Kidogo dorme";"2014-06-26"
"Foundations of modern cosmology";"2014-06-26"
"Grupos humanos";"2014-06-27"
"Relatos e retratos de Conceiçào da Barra";"2014-06-29"
"Um perfil da TV brasileira";"2014-06-29"
"Análise do comportamento mecânico de espumas cerâmicas a base de alumina obtidas pelo méto";"2014-06-29"
"A Propaganda de medicamentos voltados à  clânica obstétrica eou ginecolígica e sua influên";"2014-06-30"
"Histíria da lígica";"2014-06-30"
"Quando a imprensa e noticia";"2014-07-01"
"Anais [do] V Seminário Brasileiro sobre Homeopatia na Agropecuária Orgânica, 14 a 16 de no";"2014-07-01"
"Uma cidade em transformaçào";"2014-07-01"
"Brasil - Uniào Européia - América do Sul";"2014-07-01"
"Diário de um banana:";"2014-07-03"
"Mudanças revolucionárias nas empresas";"2014-07-04"
"O pensamento geográfico brasileiro";"2014-07-05"
"Maquiavel, a politica e o estado moderno";"2014-07-05"
"Mastery of surgery";"2014-07-05"
"Dicionário histírico de instituições de psicologia no Brasil";"2014-07-06"
"Prática forense trabalhista";"2014-07-07"
"O Caráter tectônico do moderno brasileiro";"2014-07-07"
"Análise de sobrevivência";"2014-07-07"
"49Âº Congresso Internacional de Tecnologia Metalúrgica e de materiais";"2014-07-07"
"Subjetividade e objetividade em Kierkegaard";"2014-07-07"
"Prêmio IPEA-CAIXA 2007";"2014-07-08"
"Retratos de cotidiano";"2014-07-09"
"Teoria Geral da Administraçào";"2014-07-09"
"Controle externo";"2014-07-12"
"Fundamentaçào da experiencia em Miguel Reale";"2014-07-13"
"Der weiss klang der wellen";"2014-07-13"
"A ultima nevoa";"2014-07-13"
"Polaritons in periodic and quasiperiodic structures";"2014-07-15"
"Invertebrate structure and function";"2014-07-15"
"Adiçào de vermiculita expandida micron em pastas de baixa densidade para cimentaçào de poç";"2014-07-15"
"A pequena empresa na busca da excelencia";"2014-07-17"
"1984";"2014-07-18"
"A practical guide to SysML";"2014-07-18"
"O que é administraçào";"2014-07-19"
"Participaçào e segurança pública no Brasil";"2014-07-20"
"Fragmentos setecentistas";"2014-07-20"
"Ligaçào de hidrogênio";"2014-07-21"
"Nutriçào e doença";"2014-07-21"
"Curso de direito comercial";"2014-07-21"
"Obesidade infantil";"2014-07-23"
"A constituiçào da identidade em crianças vâtimas de abuso sexual";"2014-07-23"
"A cidade na praça";"2014-07-24"
"Formaçào de professores de ciências";"2014-07-24"
"A Mansào da Pedra Torta";"2014-07-24"
"Manual para as instituições operadoras";"2014-07-24"
"O Gênero Cyathus Haller: Pers. (Agaricales, Basidiomycota) em áreas de caatinga do nordest";"2014-07-26"
"Advances in lubricant additives and tribology";"2014-07-26"
"Clima organizacional e qualidade de vida no trabalho";"2014-07-26"
"Eletrodinâmica";"2014-07-27"
"Investigaçào de paternidade, concubinato e alimentos";"2014-07-27"
"Paraty";"2014-07-27"
"Historia de la historiografâa moderna";"2014-07-27"
"Extensào universitária";"2014-07-28"
"Diferente, mas nao desigual";"2014-07-29"
"Meninos, eu vi";"2014-07-29"
"A relaçào terapeuta-paciente";"2014-07-29"
"Reflexões sobre o socialismo";"2014-07-29"
"Displasia mamária";"2014-07-30"
"Horticultura ao alcance de todos";"2014-07-31"
"Cubatào";"2014-08-01"
"Princâpios de sociologia";"2014-08-02"
"Por dentro do fruto a chuva";"2014-08-03"
"Mineralizaçào do gado bovino";"2014-08-03"
"Bâblia como se lê";"2014-08-03"
"Prevalência de sobrepeso e obesidade em escolares brasileiros";"2014-08-04"
"Estatâstica";"2014-08-04"
"As melhores seleções brasileiras de todos os tempos";"2014-08-04"
"Annotated bibliography of textbooks and reference materials in marine sciences";"2014-08-05"
"Filosofia del Quijote";"2014-08-06"
"Crise suicida";"2014-08-07"
"O Museu de Arte Moderna da Bahia";"2014-08-07"
"Notas a lapis sobre a arqueologia norte riograndense";"2014-08-09"
"Caderno pedagígico";"2014-08-09"
"Velocidade da marcha como preditor de fragilidade em uma amostra populacional de idosos br";"2014-08-09"
"Dublinesca";"2014-08-11"
"Familles sans justice?";"2014-08-11"
"Applied proof theory";"2014-08-13"
"Uma empresa e seus segredos";"2014-08-13"
"Classical mathematical logic";"2014-08-14"
"Estudo da viabilidade técnica para obtençào de superfâcie duplex em aço inoxidável martens";"2014-08-14"
"Terapêutica clânica no idoso";"2014-08-15"
"Tesouro da fraseologia brasileira";"2014-08-16"
"A fábula da convivência";"2014-08-16"
"Crise e divida externa";"2014-08-17"
"Brutalidade policial urbana no Brasil";"2014-08-18"
"Histíria do direito";"2014-08-19"
"Planar microwave engineering";"2014-08-19"
"Civilizaçào e cultura";"2014-08-20"
"The book as world";"2014-08-21"
"O Brasil na crise";"2014-08-21"
"Acesso a transferências de renda de programas sociais, 2006";"2014-08-22"
"Ilha Fiscal";"2014-08-24"
"Renegociaçào e adaptaçào do contrato internacional";"2014-08-24"
"Astrobiologâa";"2014-08-25"
"Publicidade infantil";"2014-08-25"
"Trabalho e saúde na aviaçào";"2014-08-26"
"O professor-performer";"2014-08-27"
"Hermilo Borba Filho";"2014-08-27"
"Customer relationship management (CRM):";"2014-08-30"
"Fluxo energético estadual, 1983. -";"2014-08-30"
"COBENGE 91";"2014-08-30"
"Convergência ou divergência no desenvolvimento?";"2014-08-30"
"Biblioteconomia para concursos";"2014-09-02"
"Todo o mundo tem dúvida, inclusive você";"2014-09-02"
"Miguilins no sertào da cabaça azul";"2014-09-02"
"O mundo interior";"2014-09-03"
"Naming infinity";"2014-09-03"
"Modelagem do clima de ondas e seus efeitos sobre as feições morfolígicas costeiras no lito";"2014-09-05"
"O tratamento especial e diferenciado aos paâses em desenvolvimento";"2014-09-05"
"Humanite et unite du droit essais de philosophie juridique";"2014-09-05"
"A gramatica da linguagem portuguesa";"2014-09-05"
"Paralisia cerebral";"2014-09-07"
"Conselhos gestores e participaçào sociopolâtica";"2014-09-08"
"Um coraçào maior que o mundo:";"2014-09-08"
"La revolucion en filosofia";"2014-09-09"
"CorelDraw 11";"2014-09-09"
"A aula de português no ensino médio";"2014-09-10"
"Lei do inquilinato";"2014-09-11"
"Proposta de manejo florestal sustentado do Sabiá (mimosa caesalpiniaefolia Benth)";"2014-09-11"
"Impactos tecnolígicos das parcerias da Petrobras com universidades, centros de pesquisa e";"2014-09-12"
"A Arte da cozinha";"2014-09-13"
"Resumos [do] XXXV Congresso Brasileiro de Quâmica, Salvador, 25 a 29 de setembro de 1995";"2014-09-13"
"O macaco e a velha";"2014-09-14"
"Theory of viscoelasticity";"2014-09-15"
"An introduction to information theory";"2014-09-17"
"Circuitos prácticos con relés";"2014-09-17"
"Ernest Psichari";"2014-09-18"
"Cultivo prático de cactáceas";"2014-09-18"
"Faces do design 2";"2014-09-18"
"Joker";"2014-09-19"
"Seleçào de materiais no projeto mecânico";"2014-09-19"
"Introduçào ao sensoriamento remoto";"2014-09-19"
"Antologia da poesia barroca brasileira";"2014-09-20"
"Biological physics";"2014-09-21"
"Técnicas de ensino";"2014-09-22"
"O Visconde de Taunay e os fios da memíria";"2014-09-22"
"Dançando à s avessas";"2014-09-24"
"Princâpios para a prática da psicologia clânica em hospitais";"2014-09-25"
"Projeto limousin";"2014-09-25"
"Voice tradition and technology";"2014-09-26"
"Chico Buarque";"2014-09-26"
"Le problà¨me de l'amour chez saint Thomas d'Aquin";"2014-09-27"
"Asi hablaba Zaratustra";"2014-09-29"
"Creative music composition";"2014-09-29"
"Analisis de estados financieros";"2014-09-29"
"Seu corpo, sua histíria";"2014-09-29"
"Quinta de Sào Romualdo";"2014-09-30"
"Tem um monstro no meu jardim";"2014-09-30"
"Conselho Federal de Economia";"2014-10-01"
"Leonardo da Vinci";"2014-10-01"
"Logging and log transport in tropical hight forest";"2014-10-01"
"Gestào pública";"2014-10-01"
"A eficácia jurâdica na defesa do consumidor";"2014-10-02"
"PERT custo";"2014-10-02"
"Mini Larousse do universo";"2014-10-03"
"Lâderes de opiniào no ambiente mediático";"2014-10-04"
"Insônia";"2014-10-05"
"Modelos de despachos e sentenças";"2014-10-05"
"Histíria geral das ciencias";"2014-10-06"
"Outras verdades, muito extraordinárias, do Grande Sertào";"2014-10-09"
"Logic and contemporary rhetoric";"2014-10-10"
"Como ser feliz apesar de tudo";"2014-10-14"
"O que cabe no meu mundo";"2014-10-15"
"Curso de processo civil";"2014-10-15"
"Carlota Joaquina na corte do Brasil";"2014-10-15"
"Fisioterapia neonatal e pediátrica";"2014-10-16"
"Perdido e nào perdido, achado e nào achado";"2014-10-16"
"Comunicacion escrita";"2014-10-16"
"Por uma lexicografia bilângue contrastiva";"2014-10-17"
"Gestào de custos aplicada ao setor público";"2014-10-17"
"Uma introduçào a sociologia";"2014-10-17"
"Casais que nào casam";"2014-10-18"
"A economia das trocas linguâsticas";"2014-10-18"
"à‰tica é o melhor negício";"2014-10-18"
"A relaçào professor-aluno";"2014-10-18"
"O negro e a igreja catolica";"2014-10-20"
"O Corpo humano";"2014-10-20"
"Fundamentos de circuitos elétricos";"2014-10-20"
"Panorama da comunicaçào coletiva";"2014-10-20"
"XXXI Reuniào Anual da ANPED, Caxambu, 19 a 22 de outubro de 2008 Resumos.";"2014-10-21"
"Trajetíria e estado da arte da formaçào em engenharia, arquitetura e agronomia";"2014-10-21"
"Construçào de edificios e obras publicas em climas quentes";"2014-10-22"
"Theory of elasticity";"2014-10-23"
"Confef 10 anos";"2014-10-23"
"Psicologia e direitos humanos";"2014-10-24"
"Polâtica nacional de museus";"2014-10-24"
"Introduçào a álgebra linear";"2014-10-25"
"Já dizia minha aví";"2014-10-26"
"Comunicaçào, educaçào e democracia no legislativo brasileiro";"2014-10-27"
"Musica popular brasileira";"2014-10-27"
"Comentários à s recentes reformas do cídigo de processo penal e legislaçào extravagante co";"2014-10-27"
"Probiíticos e prebiíticos em alimentos";"2014-10-27"
"Concentraçào";"2014-10-27"
"Teoria de antenas";"2014-10-28"
"Análise diagnística da polâtica nacional de saúde para reduçào de acidentes e violências";"2014-10-28"
"Os descaminhos do Sào Francisco";"2014-10-30"
"Resumos do XXXII Congresso Brasileiro de Quimica [e] V Jornada Brasileira de Iniciaçào Cie";"2014-10-30"
"Alain-Fournier";"2014-10-31"
"Handbook of magnetism and advanced magnetic materials";"2014-11-01"
"Tastevin, Parrissier";"2014-11-01"
"Reabilitaçào estética em dentes tratados endodonticamente";"2014-11-02"
"Macrozoneamento costeiro";"2014-11-06"
"Ciranda e prestaçào de serviços";"2014-11-06"
"Microsoft Visual C# 2005 in 24 hours";"2014-11-06"
"Potencial evocado de Spehlmann";"2014-11-07"
"O que é natureza";"2014-11-08"
"Investimentos inteligentes";"2014-11-09"
"Libre estética";"2014-11-10"
"Para compreender o Islà";"2014-11-11"
"Marte e Vênus juntos para sempre";"2014-11-12"
"Gestào de projetos";"2014-11-12"
"Manual de irrigaçào";"2014-11-12"
"Piaget e a intervençào psicopedagígica";"2014-11-14"
"A questào da moradia, o estado e a sociedade";"2014-11-14"
"Era uma vez um conto";"2014-11-14"
"Amores e sonhos da flora";"2014-11-15"
"Um estudo em vermelho";"2014-11-15"
"Conceitos de linguagens de programaçào";"2014-11-15"
"Reforma administrativa e gestào de polâticas sociais em Mossorí";"2014-11-16"
"O Corpo na experiência do ator";"2014-11-16"
"Sociologia empârica do lazer";"2014-11-16"
"Fundamentals of queueing theory";"2014-11-17"
"Problemas? Mas que problemas?!";"2014-11-17"
"Quem engana quem?";"2014-11-18"
"De um fragmento ao outro:";"2014-11-19"
"Otolina e a gata amarela";"2014-11-20"
"Curso completo de direito constitucional";"2014-11-21"
"O enigma do Coronel Fawcett";"2014-11-21"
"O pragmatismo do petríleo";"2014-11-23"
"Raciocinio logico e matemático";"2014-11-23"
"O publicitário legal";"2014-11-23"
"A água";"2014-11-25"
"Migraciín y polâticas sociales en América Latina";"2014-11-25"
"Modern algebra and the rise of mathematical structures";"2014-11-26"
"Em nome dos outros";"2014-11-26"
"Assassinato no Clube Diígenes";"2014-11-26"
"Bibliografia de e sobre Tercio Rosado Maia, no Boletim Bibliográfico e na Coleçào Mossoroe";"2014-11-27"
"Capacitaçào para gestores em recursos hâdricos.";"2014-11-30"
"La philosophie modern";"2014-12-02"
"Corporeidade e formaçào docentes";"2014-12-03"
"Estírias que dadá contava";"2014-12-03"
"Memírias";"2014-12-03"
"Freud";"2014-12-04"
"Eva Braun";"2014-12-04"
"Manual de gestào das cooperativas";"2014-12-04"
"O princâpio da razào durante";"2014-12-05"
"Fish catching methods of the world";"2014-12-06"
"The perspectives of psychiatry";"2014-12-06"
"Introduçào a sistemas de bancos de dados";"2014-12-07"
"Enfim sos! -";"2014-12-08"
"""Biologia alimentar e morfohistologia do tubo digestírio do Mussum, Synbranchus marmoratus";"2014-12-09"
"Cages of reason";"2014-12-10"
"A Santa Missa em cordel";"2014-12-12"
"República da Bolâvia";"2014-12-13"
"Seminário Nacional Sobre a Reforma Tributária, Recife, 8 e 9 de dezembro de 1998";"2014-12-13"
"Educaçào à  distância e material didático";"2014-12-13"
"Chaves para ler Anisio Teixeira";"2014-12-13"
"Filosofia";"2014-12-14"
"Remote sensing applications in meteorology and climatology";"2014-12-15"
"A produçào de castanha de caju e a dinâmica socioespacial do municâpio de Caraúbas-RN";"2014-12-17"
"Avaliaçào de empresas";"2014-12-17"
"Contrato e direitos fundamentais";"2014-12-17"
"Numerical methods for unconstrained optimization";"2014-12-17"
"As ciências da educaçào e a prática pedagígica";"2014-12-18"
"A propriedade e um roubo";"2014-12-18"
"Semiconductor devices, physics and technology";"2014-12-19"
"Territírio e territorialidade negra quilombola em Coqueiros-BA";"2014-12-20"
"A invasào farmacêutica";"2014-12-20"
"Metrípole das mandingas";"2014-12-21"
"A filosofia contemporânea do direito";"2014-12-23"
"Revisào do contrato";"2014-12-23"
"Administraçào pública";"2014-12-24"
"Parceria e risco na agricultura do Nordeste";"2014-12-25"
"Terapia nutricional no paciente grave";"2014-12-26"
"Práticas educativas escolares ancoradas à s mâdias tecnolígicas";"2014-12-27"
"Sergio Rodrigues";"2014-12-27"
"Serviço Social Audit Saúde no SUSRN";"2014-12-28"
"Conte outra vez";"2014-12-28"
"VIII Congresso Internacional, XIV Seminário Nacional do INES, Rio de Janeiro, 23 a 25 de s";"2014-12-28"
"Por uma razào tensa";"2014-12-28"
"A Manta do soldado";"2014-12-29"
"Mapa de conteúdos e mapa de dependência";"2014-12-29"
"O Leitor universitário e a construçào das práticas de ler e escrever textos impressos e di";"2014-12-30"
"Estudo sobre a reduçào aluminotérmica de Ta2O5 e TiO2 usando descarga de cátodo oco";"2014-12-31"
"Deficiências sensoriais e incapacidades fâsicas";"2015-01-01"
"Universidade pública";"2015-01-01"
"Se liga no som";"2015-01-02"
"Imunologia";"2015-01-02"
"Tropical freshwater wetlands";"2015-01-03"
"Localizaçào de faltas em linhas de transmissào de múltiplos terminais a partir de registro";"2015-01-04"
"Princâpios de anatomia e fisiologia em fonoaudiologia";"2015-01-04"
"Método lígico para redaçào cientâfica";"2015-01-04"
"Digital signal processing and the microcontroller";"2015-01-05"
"Ciencia para la paz y el desarrollo";"2015-01-05"
"Sândrome de Burnout";"2015-01-08"
"Colonizaçào e trabalho no Brasil";"2015-01-09"
"Os carolinos";"2015-01-10"
"Histíria da beleza";"2015-01-10"
"The ecology of plants";"2015-01-10"
"Educaçào superior";"2015-01-11"
"La persecuciín religiosa y la iglesia independiente del estado ateo";"2015-01-11"
"Distribuiçào de germânio em frações densimétricas de carvões";"2015-01-12"
"Dinheiro e felicidade nos contos de fada, nas narrações mâticas e na polâtica";"2015-01-12"
"Aconselhamento em HIVAIDS";"2015-01-13"
"O despertar da intuiçào";"2015-01-13"
"Vida e paixào de Pandonar, o Cruel";"2015-01-13"
"Por que os clientes nunca fazem o que você gostaria que eles fizessem... e o que fazer a r";"2015-01-13"
"Desenvolvimento de substrato cerâmico BiNbO4 para antenas de microfita de sistemas de comu";"2015-01-14"
"Proposta de intervençào para auxiliar a reabilitaçào motora e cognitiva de pacientes com a";"2015-01-14"
"Projeto geométrico de rodovias";"2015-01-15"
"Mapeando a Terra e o universo";"2015-01-15"
